,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Bowling Green,13,70,2489,35.56,5.4,191.5
1,2,Akron,12,53,1899,35.83,4.4,158.3
2,3,Ohio,14,72,2601,36.13,5.1,185.8
3,4,Ball State,12,56,2066,36.89,4.7,172.2
4,5,Navy,14,57,2104,36.91,4.1,150.3
5,6,Clemson,14,78,2894,37.10,5.6,206.7
6,7,Western Kentucky,12,36,1339,37.19,3.0,111.6
7,7,Michigan,12,70,2603,37.19,5.8,216.9
8,9,Rutgers,13,80,3004,37.55,6.2,231.1
9,10,Temple,13,71,2675,37.68,5.5,205.8
10,11,Boston College,13,78,2943,37.73,6.0,226.4
11,12,Maryland,12,61,2335,38.28,5.1,194.6
12,13,Georgia Tech,14,50,1931,38.62,3.6,137.9
13,14,Eastern Michigan,12,38,1469,38.66,3.2,122.4
14,15,Central Michigan,14,63,2445,38.81,4.5,174.6
15,15,Minnesota,13,62,2406,38.81,4.8,185.1
16,17,Arkansas State,12,65,2523,38.82,5.4,210.3
17,18,South Carolina,13,69,2683,38.88,5.3,206.4
18,19,Northern Illinois,13,59,2298,38.95,4.5,176.8
19,20,Miami (Ohio),12,57,2223,39.00,4.8,185.3
20,21,Penn State,13,85,3321,39.07,6.5,255.5
21,22,Texas,14,96,3753,39.09,6.9,268.1
22,23,Purdue,12,57,2230,39.12,4.8,185.8
23,24,Iowa State,13,64,2505,39.14,4.9,192.7
24,25,Toledo,12,47,1840,39.15,3.9,153.3
25,26,Colorado,12,62,2429,39.18,5.2,202.4
26,27,Troy,13,71,2786,39.24,5.5,214.3
27,28,Middle Tennessee,13,86,3376,39.26,6.6,259.7
28,29,Duke,12,54,2121,39.28,4.5,176.8
29,30,Virginia,12,58,2279,39.29,4.8,189.9
30,31,Kent State,12,63,2476,39.30,5.3,206.3
31,32,Pittsburgh,13,60,2359,39.32,4.6,181.5
32,33,Illinois,12,52,2045,39.33,4.3,170.4
33,33,Boise State,14,88,3461,39.33,6.3,247.2
34,35,Arkansas,13,63,2485,39.44,4.8,191.2
35,36,California,13,70,2763,39.47,5.4,212.5
36,37,Louisiana-Monroe,12,63,2487,39.48,5.3,207.3
37,38,Nevada,13,61,2410,39.51,4.7,185.4
38,39,Mississippi State,12,60,2372,39.53,5.0,197.7
39,40,Miami (Florida),13,68,2691,39.57,5.2,207.0
40,41,Oregon State,13,69,2734,39.62,5.3,210.3
41,42,Michigan State,13,70,2776,39.66,5.4,213.5
42,43,Buffalo,12,55,2184,39.71,4.6,182.0
43,43,Kentucky,13,69,2740,39.71,5.3,210.8
44,45,UCF,13,62,2463,39.73,4.8,189.5
45,46,Louisiana Tech,12,58,2306,39.76,4.8,192.2
46,47,East Carolina,14,66,2627,39.80,4.7,187.6
47,48,Memphis,12,54,2151,39.83,4.5,179.3
48,49,Oregon,13,76,3034,39.92,5.8,233.4
49,50,Syracuse,12,58,2320,40.00,4.8,193.3
50,51,Georgia,13,70,2801,40.01,5.4,215.5
51,52,Mississippi,13,81,3243,40.04,6.2,249.5
52,53,Tulane,12,32,1282,40.06,2.7,106.8
53,54,Missouri,13,63,2525,40.08,4.8,194.2
54,55,Southern Mississippi,13,61,2448,40.13,4.7,188.3
55,56,Wisconsin,13,62,2490,40.16,4.8,191.5
56,56,Florida,14,81,3253,40.16,5.8,232.4
57,58,Florida International,12,55,2210,40.18,4.6,184.2
58,59,Houston,14,63,2532,40.19,4.5,180.9
59,60,LSU,13,70,2814,40.20,5.4,216.5
60,61,Wyoming,13,55,2212,40.22,4.2,170.2
61,62,Washington State,12,43,1731,40.26,3.6,144.3
62,63,South Florida,13,55,2219,40.35,4.2,170.7
63,64,Northwestern,13,66,2666,40.39,5.1,205.1
64,65,Washington,12,42,1700,40.48,3.5,141.7
65,66,Florida State,13,48,1946,40.54,3.7,149.7
66,67,Iowa,13,78,3164,40.56,6.0,243.4
67,68,Texas A&M,13,65,2637,40.57,5.0,202.8
68,69,Wake Forest,12,58,2355,40.60,4.8,196.3
69,70,West Virginia,13,67,2722,40.63,5.2,209.4
70,71,Baylor,12,50,2033,40.66,4.2,169.4
71,72,Hawai'i,13,50,2039,40.78,3.8,156.8
72,73,Western Michigan,12,60,2448,40.80,5.0,204.0
73,74,Notre Dame,12,58,2369,40.84,4.8,197.4
74,75,Louisiana-Lafayette,12,50,2043,40.86,4.2,170.3
75,76,UNLV,12,41,1677,40.90,3.4,139.8
76,77,USC,13,77,3152,40.94,5.9,242.5
77,78,San Jose State,12,44,1802,40.95,3.7,150.2
78,79,Kansas State,12,61,2500,40.98,5.1,208.3
79,80,Virginia Tech,13,82,3374,41.15,6.3,259.5
80,81,Louisville,12,55,2264,41.16,4.6,188.7
81,82,Arizona,13,70,2882,41.17,5.4,221.7
82,83,North Carolina State,12,56,2306,41.18,4.7,192.2
83,84,BYU,13,63,2596,41.21,4.8,199.7
84,85,Kansas,12,61,2517,41.26,5.1,209.8
85,86,Idaho,13,44,1821,41.39,3.4,140.1
86,86,Nebraska,14,93,3849,41.39,6.6,274.9
87,88,Rice,12,48,1989,41.44,4.0,165.8
88,89,Ohio State,13,84,3486,41.50,6.5,268.2
89,90,Army,12,60,2493,41.55,5.0,207.8
90,91,New Mexico State,13,52,2161,41.56,4.0,166.2
91,92,SMU,13,66,2750,41.67,5.1,211.5
92,93,Texas Tech,13,68,2834,41.68,5.2,218.0
93,94,Arizona State,12,71,2960,41.69,5.9,246.7
94,95,Fresno State,13,57,2377,41.70,4.4,182.8
95,96,Indiana,12,53,2213,41.75,4.4,184.4
96,97,UTEP,12,47,1967,41.85,3.9,163.9
97,97,Oklahoma State,13,75,3139,41.85,5.8,241.5
98,99,TCU,13,102,4276,41.92,7.8,328.9
99,100,New Mexico,12,49,2060,42.04,4.1,171.7
100,100,Alabama,14,96,4036,42.04,6.9,288.3
101,102,Connecticut,13,71,2991,42.13,5.5,230.1
102,103,Cincinnati,13,75,3161,42.15,5.8,243.2
103,104,Utah,13,85,3586,42.19,6.5,275.8
104,105,Auburn,13,69,2918,42.29,5.3,224.5
105,106,Oklahoma,13,100,4238,42.38,7.7,326.0
106,107,North Texas,12,57,2416,42.39,4.8,201.3
107,108,Florida Atlantic,12,44,1870,42.50,3.7,155.8
108,109,North Carolina,13,77,3280,42.60,5.9,252.3
109,110,Colorado State,12,40,1707,42.68,3.3,142.3
110,111,UCLA,13,70,2994,42.77,5.4,230.3
111,112,San Diego State,12,51,2183,42.80,4.3,181.9
112,113,UAB,12,45,1932,42.93,3.8,161.0
113,114,Marshall,13,62,2665,42.98,4.8,205.0
114,115,Vanderbilt,12,68,2923,42.99,5.7,243.6
115,116,Stanford,13,57,2453,43.04,4.4,188.7
116,117,Tulsa,12,68,2931,43.10,5.7,244.3
117,118,Tennessee,13,61,2643,43.33,4.7,203.3
118,119,Air Force,13,66,2880,43.64,5.1,221.5
119,120,Utah State,12,64,2857,44.64,5.3,238.1
