,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Louisville,13,406,1049,2.58,10,31.23,80.69
1,2,Michigan State,14,425,1212,2.85,8,30.36,86.57
2,3,Stanford,14,435,1256,2.89,8,31.07,89.71
3,4,Rutgers,13,423,1310,3.10,17,32.54,100.77
4,5,Wisconsin,13,414,1333,3.22,8,31.85,102.54
5,6,Cincinnati,13,423,1358,3.21,12,32.54,104.46
6,7,Alabama,13,416,1381,3.32,8,32.00,106.23
7,8,Utah State,14,535,1495,2.79,9,38.21,106.79
8,9,Ohio State,14,466,1532,3.29,9,33.29,109.43
9,10,Virginia Tech,13,449,1442,3.21,13,34.54,110.92
10,11,Georgia Tech,13,422,1505,3.57,18,32.46,115.77
11,12,Memphis,12,421,1396,3.32,16,35.08,116.33
12,13,East Carolina,13,465,1517,3.26,12,35.77,116.69
13,14,USC,14,426,1684,3.95,14,30.43,120.29
14,15,North Texas,13,426,1567,3.68,10,32.77,120.54
15,16,UCF,13,400,1592,3.98,21,30.77,122.46
16,17,Tulane,13,505,1604,3.18,17,38.85,123.38
17,18,Florida State,14,536,1747,3.26,7,38.29,124.79
18,19,Iowa,13,466,1669,3.58,8,35.85,128.38
19,20,Utah,12,444,1564,3.52,13,37.00,130.33
20,21,TCU,12,474,1570,3.31,14,39.50,130.83
21,22,San Diego State,13,467,1708,3.66,20,35.92,131.38
22,23,Connecticut,12,440,1625,3.69,17,36.67,135.42
23,24,Oklahoma,13,437,1789,4.09,17,33.62,137.62
24,25,Arizona State,14,497,1927,3.88,21,35.50,137.64
25,26,Syracuse,13,469,1803,3.84,19,36.08,138.69
26,27,Kansas State,13,461,1808,3.92,20,35.46,139.08
27,28,South Florida,12,435,1677,3.86,16,36.25,139.75
28,29,Michigan,13,478,1822,3.81,14,36.77,140.15
29,30,Colorado State,14,519,1965,3.79,16,37.07,140.36
30,31,SMU,12,446,1689,3.79,23,37.17,140.75
31,32,Oklahoma State,13,508,1851,3.64,11,39.08,142.38
32,33,Florida,12,393,1709,4.35,17,32.75,142.42
33,34,UTSA,12,429,1717,4.00,15,35.75,143.08
34,35,Wake Forest,12,461,1718,3.73,13,38.42,143.17
35,36,LSU,13,474,1862,3.93,15,36.46,143.23
36,37,Penn State,12,441,1728,3.92,16,36.75,144.00
37,38,Mississippi State,13,445,1874,4.21,17,34.23,144.15
38,39,Baylor,13,545,1886,3.46,15,41.92,145.08
39,40,Fresno State,13,528,1915,3.63,22,40.62,147.31
40,41,Texas State,12,425,1769,4.16,20,35.42,147.42
41,42,Vanderbilt,13,460,1922,4.18,19,35.38,147.85
42,43,Georgia,13,520,1926,3.70,25,40.00,148.15
43,44,Houston,13,541,1937,3.58,18,41.62,149.00
44,44,Pittsburgh,13,479,1937,4.04,19,36.85,149.00
45,46,Maryland,13,522,1952,3.74,20,40.15,150.15
46,47,Bowling Green,14,468,2108,4.50,16,33.43,150.57
47,48,Louisiana-Lafayette,13,474,1959,4.13,20,36.46,150.69
48,49,Northern Illinois,14,550,2120,3.85,14,39.29,151.43
49,50,Missouri,14,513,2141,4.17,20,36.64,152.93
50,51,South Carolina,13,464,2000,4.31,16,35.69,153.85
51,52,Mississippi,13,514,2014,3.92,27,39.54,154.92
52,53,Clemson,13,543,2024,3.73,22,41.77,155.69
53,54,Nebraska,13,537,2029,3.78,21,41.31,156.08
54,55,Minnesota,13,453,2056,4.54,19,34.85,158.15
55,56,South Alabama,12,450,1916,4.26,15,37.50,159.67
56,57,BYU,13,538,2079,3.86,11,41.38,159.92
57,57,Boston College,13,518,2079,4.01,19,39.85,159.92
58,59,Marshall,14,607,2249,3.71,20,43.36,160.64
59,60,Western Kentucky,12,451,1935,4.29,24,37.58,161.25
60,61,Washington,13,508,2097,4.13,20,39.08,161.31
61,62,Rice,14,545,2259,4.14,20,38.93,161.36
62,63,Auburn,14,496,2282,4.60,19,35.43,163.00
63,64,Akron,12,480,1969,4.10,16,40.00,164.08
64,65,Boise State,13,568,2134,3.76,19,43.69,164.15
65,66,Oregon,13,563,2152,3.82,17,43.31,165.54
66,67,Buffalo,13,511,2166,4.24,24,39.31,166.62
67,68,Northwestern,12,485,2012,4.15,16,40.42,167.67
68,68,Florida Atlantic,12,456,2012,4.41,18,38.00,167.67
69,70,Arizona,13,531,2182,4.11,18,40.85,167.85
70,71,Notre Dame,13,522,2184,4.18,13,40.15,168.00
71,72,UCLA,13,554,2188,3.95,19,42.62,168.31
72,73,Troy,12,472,2035,4.31,27,39.33,169.58
73,74,Toledo,12,510,2045,4.01,27,42.50,170.42
74,75,Virginia,12,470,2048,4.36,28,39.17,170.67
75,76,Duke,14,573,2438,4.25,17,40.93,174.14
76,77,Temple,12,458,2108,4.60,17,38.17,175.67
77,78,Miami (Florida),13,522,2295,4.40,26,40.15,176.54
78,79,Arkansas,12,458,2141,4.67,21,38.17,178.42
79,80,Navy,13,511,2325,4.55,17,39.31,178.85
80,81,Arkansas State,13,496,2342,4.72,22,38.15,180.15
81,82,North Carolina State,12,431,2162,5.02,26,35.92,180.17
82,83,North Carolina,13,570,2371,4.16,19,43.85,182.38
83,84,Texas,13,547,2380,4.35,21,42.08,183.08
84,85,Ohio,13,529,2443,4.62,21,40.69,187.92
85,86,Washington State,13,548,2449,4.47,25,42.15,188.38
86,87,California,12,462,2263,4.90,32,38.50,188.58
87,88,Louisiana-Monroe,12,472,2271,4.81,19,39.33,189.25
88,89,Oregon State,13,485,2474,5.10,28,37.31,190.31
89,90,Kansas,12,485,2287,4.72,25,40.42,190.58
90,91,West Virginia,12,520,2292,4.41,23,43.33,191.00
91,92,Louisiana Tech,12,568,2337,4.11,25,47.33,194.75
92,93,Ball State,13,532,2539,4.77,22,40.92,195.31
93,94,Kentucky,12,483,2368,4.90,26,40.25,197.33
94,95,Kent State,12,489,2386,4.88,21,40.75,198.83
95,96,Middle Tennessee,13,598,2596,4.34,25,46.00,199.69
96,97,Tulsa,12,519,2398,4.62,21,43.25,199.83
97,98,Central Michigan,12,505,2415,4.78,23,42.08,201.25
98,99,Texas Tech,13,576,2621,4.55,32,44.31,201.62
99,100,Florida International,12,467,2465,5.28,26,38.92,205.42
100,101,Tennessee,12,473,2488,5.26,25,39.42,207.33
101,102,Colorado,12,506,2502,4.94,31,42.17,208.50
102,103,Idaho,12,467,2541,5.44,32,38.92,211.75
103,104,Army,12,502,2560,5.10,29,41.83,213.33
104,105,Hawai'i,12,578,2563,4.43,27,48.17,213.58
105,106,San Jose State,12,491,2575,5.24,29,40.92,214.58
106,107,Massachusetts,12,480,2586,5.39,23,40.00,215.50
107,108,UNLV,13,559,2812,5.03,28,43.00,216.31
108,109,Wyoming,12,570,2642,4.64,27,47.50,220.17
109,110,UAB,12,474,2656,5.60,35,39.50,221.33
110,111,Texas A&M,13,537,2890,5.38,23,41.31,222.31
111,112,Georgia State,12,542,2668,4.92,28,45.17,222.33
112,113,Miami (Ohio),12,528,2680,5.08,23,44.00,223.33
113,114,Iowa State,12,502,2688,5.35,33,41.83,224.00
114,115,Southern Mississippi,12,567,2695,4.75,38,47.25,224.58
115,116,Purdue,12,529,2825,5.34,28,44.08,235.42
116,117,Indiana,12,525,2853,5.43,35,43.75,237.75
117,118,Illinois,12,513,2863,5.58,29,42.75,238.58
118,119,UTEP,12,483,2974,6.16,35,40.25,247.83
119,120,Western Michigan,12,558,3000,5.38,30,46.50,250.00
120,121,Air Force,12,592,3007,5.08,41,49.33,250.58
121,122,New Mexico,12,498,3081,6.19,40,41.50,256.75
122,123,Eastern Michigan,12,493,3096,6.28,43,41.08,258.00
123,124,Nevada,12,472,3102,6.57,34,39.33,258.50
124,125,New Mexico State,12,524,3594,6.86,45,43.67,299.50
