,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Houston,13,18,25,43,8,10,18,25,1.92
1,2,Louisville,13,11,16,27,6,4,10,17,1.31
2,3,Florida State,14,9,26,35,5,13,18,17,1.21
3,4,Oklahoma State,13,12,21,33,5,13,18,15,1.15
4,4,Buffalo,13,15,15,30,7,8,15,15,1.15
5,6,Missouri,14,12,20,32,8,8,16,16,1.14
6,7,Arizona State,14,12,21,33,6,12,18,15,1.07
7,8,South Carolina,13,12,18,30,13,4,17,13,1.00
8,8,Baylor,13,10,19,29,10,6,16,13,1.00
9,10,Northern Illinois,14,11,19,30,9,8,17,13,0.93
10,10,Michigan State,14,11,17,28,8,7,15,13,0.93
11,12,Ball State,13,18,13,31,11,8,19,12,0.92
12,12,Navy,13,9,13,22,6,4,10,12,0.92
13,14,Tulane,13,16,19,35,8,16,24,11,0.85
14,14,North Texas,13,16,18,34,9,14,23,11,0.85
15,14,Middle Tennessee,13,18,15,33,7,15,22,11,0.85
16,14,Oregon,13,12,17,29,12,6,18,11,0.85
17,18,Utah State,14,13,17,30,9,10,19,11,0.79
18,19,UCLA,13,12,14,26,7,9,16,10,0.77
19,20,Bowling Green,14,13,8,21,4,7,11,10,0.71
20,21,Oklahoma,13,9,16,25,5,11,16,9,0.69
21,22,East Carolina,13,6,18,24,6,10,16,8,0.62
22,23,Nevada,12,8,10,18,6,5,11,7,0.58
23,24,Vanderbilt,13,12,18,30,7,16,23,7,0.54
24,24,Virginia Tech,13,7,19,26,4,15,19,7,0.54
25,24,Mississippi State,13,11,14,25,6,12,18,7,0.54
26,24,Washington,13,7,16,23,8,8,16,7,0.54
27,28,Rice,14,12,14,26,10,9,19,7,0.50
28,29,Clemson,13,12,18,30,12,12,24,6,0.46
29,29,Arkansas State,13,11,9,20,7,7,14,6,0.46
30,31,USC,14,6,17,23,8,9,17,6,0.43
31,32,South Alabama,12,7,11,18,4,9,13,5,0.42
32,33,Miami (Florida),13,9,18,27,8,14,22,5,0.38
33,33,UCF,13,12,14,26,10,11,21,5,0.38
34,33,Michigan,13,9,17,26,8,13,21,5,0.38
35,33,UNLV,13,9,11,20,5,10,15,5,0.38
36,37,Ohio State,14,8,16,24,10,9,19,5,0.36
37,38,Toledo,12,12,8,20,6,10,16,4,0.33
38,39,Texas,13,16,10,26,7,15,22,4,0.31
39,39,Arizona,13,4,18,22,11,7,18,4,0.31
40,41,Northwestern,12,4,19,23,7,13,20,3,0.25
41,42,Oregon State,13,10,19,29,10,16,26,3,0.23
42,42,Boise State,13,11,16,27,13,11,24,3,0.23
43,42,North Carolina,13,8,13,21,7,11,18,3,0.23
44,42,Boston College,13,11,9,20,9,8,17,3,0.23
45,42,Minnesota,13,9,10,19,9,7,16,3,0.23
46,47,Marshall,14,8,18,26,13,10,23,3,0.21
47,48,Texas State,12,8,11,19,6,11,17,2,0.17
48,49,Syracuse,13,9,15,24,5,17,22,2,0.15
49,49,BYU,13,10,13,23,7,14,21,2,0.15
50,49,Alabama,13,8,11,19,10,7,17,2,0.15
51,52,Colorado State,14,12,10,22,9,11,20,2,0.14
52,53,Tennessee,12,11,14,25,7,17,24,1,0.08
53,53,Kansas,12,10,14,24,11,12,23,1,0.08
54,53,Louisiana-Lafayette,13,9,14,23,8,14,22,1,0.08
55,53,Fresno State,13,9,14,23,12,10,22,1,0.08
56,53,Mississippi,13,9,13,22,8,13,21,1,0.08
57,53,Texas A&M,13,5,17,22,8,13,21,1,0.08
58,53,Wisconsin,13,11,9,20,4,15,19,1,0.08
59,60,Duke,14,8,18,26,6,19,25,1,0.07
60,61,Kansas State,13,8,17,25,12,13,25,0,0.00
61,61,North Carolina State,12,9,12,21,6,15,21,0,0.00
62,61,LSU,13,8,11,19,10,9,19,0,0.00
63,61,Stanford,14,6,13,19,9,10,19,0,0.00
64,61,Auburn,14,6,13,19,11,8,19,0,0.00
65,61,Army,12,10,7,17,13,4,17,0,0.00
66,61,Notre Dame,13,4,13,17,4,13,17,0,0.00
67,61,Kentucky,12,12,3,15,9,6,15,0,0.00
68,69,Connecticut,12,11,13,24,7,18,25,-1,-0.08
69,69,Iowa State,12,13,8,21,8,14,22,-1,-0.08
70,69,Iowa,13,8,13,21,7,15,22,-1,-0.08
71,69,Pittsburgh,13,8,8,16,8,9,17,-1,-0.08
72,73,Ohio,13,8,14,22,11,13,24,-2,-0.15
73,74,TCU,12,9,19,28,13,17,30,-2,-0.17
74,74,Wake Forest,12,9,12,21,9,14,23,-2,-0.17
75,74,Purdue,12,7,13,20,9,13,22,-2,-0.17
76,74,Penn State,12,7,13,20,12,10,22,-2,-0.17
77,74,Miami (Ohio),12,9,10,19,10,11,21,-2,-0.17
78,74,Florida Atlantic,12,6,13,19,10,11,21,-2,-0.17
79,74,Akron,12,6,13,19,11,10,21,-2,-0.17
80,74,Florida,12,8,10,18,11,9,20,-2,-0.17
81,82,Louisiana Tech,12,8,18,26,14,15,29,-3,-0.25
82,82,South Florida,12,14,11,25,12,16,28,-3,-0.25
83,82,Colorado,12,11,10,21,9,15,24,-3,-0.25
84,82,Indiana,12,10,7,17,6,14,20,-3,-0.25
85,86,Georgia Tech,13,6,14,20,11,13,24,-4,-0.31
86,87,West Virginia,12,16,12,28,16,16,32,-4,-0.33
87,87,Wyoming,12,11,9,20,12,12,24,-4,-0.33
88,87,Louisiana-Monroe,12,6,13,19,9,14,23,-4,-0.33
89,87,Kent State,12,4,9,13,8,9,17,-4,-0.33
90,87,New Mexico,12,6,4,10,9,5,14,-4,-0.33
91,87,Air Force,12,5,4,9,9,4,13,-4,-0.33
92,93,Washington State,13,14,16,30,11,24,35,-5,-0.38
93,94,Central Michigan,12,8,14,22,10,17,27,-5,-0.42
94,94,Virginia,12,11,10,21,9,17,26,-5,-0.42
95,94,San Jose State,12,5,12,17,8,14,22,-5,-0.42
96,97,New Mexico State,12,10,10,20,13,13,26,-6,-0.50
97,97,UAB,12,7,7,14,11,9,20,-6,-0.50
98,97,Temple,12,10,3,13,8,11,19,-6,-0.50
99,97,UTEP,12,9,3,12,8,10,18,-6,-0.50
100,101,Maryland,13,10,11,21,18,10,28,-7,-0.54
101,101,Cincinnati,13,8,13,21,11,17,28,-7,-0.54
102,101,Georgia,13,8,7,15,10,12,22,-7,-0.54
103,104,Massachusetts,12,11,8,19,8,18,26,-7,-0.58
104,104,Western Michigan,12,11,8,19,8,18,26,-7,-0.58
105,104,SMU,12,6,11,17,12,12,24,-7,-0.58
106,104,Georgia State,12,9,7,16,11,12,23,-7,-0.58
107,104,UTSA,12,6,8,14,8,13,21,-7,-0.58
108,104,Florida International,12,6,7,13,10,10,20,-7,-0.58
109,104,Troy,12,5,6,11,9,9,18,-7,-0.58
110,111,Idaho,12,9,10,19,14,13,27,-8,-0.67
111,111,Memphis,12,7,11,18,15,11,26,-8,-0.67
112,113,Utah,12,13,3,16,4,21,25,-9,-0.75
113,113,Arkansas,12,6,8,14,12,11,23,-9,-0.75
114,115,Hawai'i,12,15,9,24,12,22,34,-10,-0.83
115,115,Tulsa,12,9,15,24,15,19,34,-10,-0.83
116,115,Western Kentucky,12,7,14,21,15,16,31,-10,-0.83
117,115,Illinois,12,8,3,11,7,14,21,-10,-0.83
118,119,San Diego State,13,11,8,19,16,14,30,-11,-0.85
119,119,Nebraska,13,4,14,18,16,13,29,-11,-0.85
120,121,Rutgers,13,10,8,18,8,22,30,-12,-0.92
121,122,Eastern Michigan,12,4,7,11,9,14,23,-12,-1.00
122,123,Texas Tech,13,11,8,19,15,18,33,-14,-1.08
123,124,California,12,8,5,13,14,14,28,-15,-1.25
124,125,Southern Mississippi,12,13,6,19,12,26,38,-19,-1.58
