,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Iowa,13,21,423,4,1.62
1,2,South Florida,12,20,310,2,1.67
2,2,UCF,13,20,303,3,1.54
3,2,Wyoming,13,20,262,2,1.54
4,2,Wisconsin,14,20,346,5,1.43
5,2,Florida Atlantic,14,20,190,0,1.43
6,7,Louisiana Tech,13,19,414,5,1.46
7,7,Arizona,13,19,320,2,1.46
8,7,Central Michigan,13,19,172,1,1.46
9,7,Akron,14,19,398,3,1.36
10,7,Alabama,14,19,279,2,1.36
11,12,Boston College,13,18,388,2,1.38
12,12,Appalachian State,13,18,382,0,1.38
13,12,Stanford,14,18,191,1,1.29
14,15,Oklahoma State,13,17,244,2,1.31
15,15,Troy,13,17,241,2,1.31
16,15,Miami (Florida),13,17,228,2,1.31
17,15,Northwestern,13,17,207,1,1.31
18,19,Texas,13,16,328,5,1.23
19,19,Memphis,13,16,239,2,1.23
20,19,New Mexico State,13,16,82,1,1.23
21,19,USC,14,16,209,3,1.14
22,23,Houston,12,15,292,1,1.25
23,23,Northern Illinois,13,15,284,3,1.15
24,23,Washington,13,15,243,2,1.15
25,23,Oregon,13,15,242,2,1.15
26,23,Duke,13,15,224,4,1.15
27,23,Virginia,13,15,154,1,1.15
28,23,Washington State,13,15,130,1,1.15
29,23,Boise State,14,15,225,1,1.07
30,23,Toledo,14,15,91,0,1.07
31,32,Florida,11,14,228,3,1.27
32,32,Arkansas State,12,14,198,1,1.17
33,32,California,12,14,193,1,1.17
34,32,Georgia Southern,12,14,80,0,1.17
35,32,Texas Tech,13,14,284,2,1.08
36,32,UAB,13,14,244,3,1.08
37,32,North Carolina State,13,14,202,2,1.08
38,32,San Diego State,13,14,196,1,1.08
39,32,Wake Forest,13,14,187,1,1.08
40,32,Michigan State,13,14,151,1,1.08
41,32,South Carolina,13,14,140,2,1.08
42,32,Utah,13,14,126,1,1.08
43,32,Clemson,14,14,214,3,1.00
44,45,UTSA,11,13,95,1,1.18
45,45,Massachusetts,12,13,207,2,1.08
46,45,Tulane,12,13,63,0,1.08
47,45,Mississippi State,13,13,384,3,1.00
48,45,Virginia Tech,13,13,267,2,1.00
49,45,Utah State,13,13,234,3,1.00
50,45,Louisville,13,13,230,2,1.00
51,45,TCU,14,13,199,3,0.93
52,45,Ohio State,14,13,160,1,0.93
53,54,Rutgers,12,12,154,2,1.00
54,54,Kent State,12,12,66,0,1.00
55,54,Iowa State,13,12,286,3,0.92
56,54,SMU,13,12,168,2,0.92
57,54,Missouri,13,12,140,1,0.92
58,54,Kansas State,13,12,130,2,0.92
59,54,Colorado State,13,12,76,1,0.92
60,54,LSU,13,12,54,0,0.92
61,54,Georgia,15,12,173,0,0.80
62,63,Miami (Ohio),12,11,161,1,0.92
63,63,West Virginia,13,11,259,3,0.85
64,63,Arizona State,13,11,95,2,0.85
65,63,Kentucky,13,11,90,0,0.85
66,67,Western Michigan,12,10,170,2,0.83
67,67,Maryland,12,10,117,1,0.83
68,67,Georgia State,12,10,67,0,0.83
69,67,Purdue,13,10,240,1,0.77
70,67,Temple,13,10,234,0,0.77
71,67,Notre Dame,13,10,209,2,0.77
72,67,Michigan,13,10,206,2,0.77
73,67,Penn State,13,10,114,0,0.77
74,67,Texas A&M,13,10,75,2,0.77
75,67,Western Kentucky,13,10,57,1,0.77
76,77,Nebraska,12,9,138,2,0.75
77,77,Idaho,12,9,131,0,0.75
78,77,Hawai'i,12,9,130,1,0.75
79,77,Louisiana-Lafayette,12,9,109,0,0.75
80,77,Illinois,12,9,105,1,0.75
81,77,Pittsburgh,12,9,84,0,0.75
82,77,Louisiana-Monroe,12,9,82,0,0.75
83,77,Bowling Green,12,9,78,0,0.75
84,77,Southern Mississippi,13,9,260,3,0.69
85,77,Ohio,13,9,145,2,0.69
86,77,Florida State,13,9,88,2,0.69
87,77,Fresno State,14,9,82,2,0.64
88,89,Colorado,12,8,185,1,0.67
89,89,Eastern Michigan,12,8,162,2,0.67
90,89,Nevada,12,8,156,2,0.67
91,89,Arkansas,12,8,143,0,0.67
92,89,Mississippi,12,8,104,0,0.67
93,89,Minnesota,12,8,98,2,0.67
94,89,Old Dominion,12,8,76,0,0.67
95,89,Buffalo,12,8,39,0,0.67
96,89,South Alabama,12,8,7,0,0.67
97,89,BYU,13,8,224,1,0.62
98,89,UCLA,13,8,82,2,0.62
99,89,Oklahoma,14,8,145,1,0.57
100,89,North Texas,14,8,16,0,0.57
101,102,Tulsa,12,7,147,1,0.58
102,102,UNLV,12,7,106,1,0.58
103,102,North Carolina,12,7,100,0,0.58
104,102,East Carolina,12,7,72,0,0.58
105,102,Vanderbilt,12,7,65,0,0.58
106,102,Oregon State,12,7,49,1,0.58
107,102,Florida International,13,7,58,1,0.54
108,102,Navy,13,7,52,0,0.54
109,110,Georgia Tech,11,6,98,1,0.55
110,110,New Mexico,12,6,162,1,0.50
111,110,UTEP,12,6,52,1,0.50
112,110,Connecticut,12,6,40,1,0.50
113,110,Ball State,12,6,13,0,0.50
114,110,Marshall,13,6,170,3,0.46
115,110,San Jose State,13,6,137,1,0.46
116,110,Army,13,6,93,1,0.46
117,110,Auburn,14,6,82,2,0.43
118,119,Tennessee,12,5,186,2,0.42
119,119,Coastal Carolina,12,5,115,0,0.42
120,119,Cincinnati,12,5,83,1,0.42
121,119,Air Force,12,5,64,1,0.42
122,119,Indiana,12,5,34,0,0.42
123,119,Middle Tennessee,13,5,64,0,0.38
124,125,Syracuse,12,4,62,1,0.33
125,125,Kansas,12,4,12,0,0.33
126,127,Rice,12,3,80,1,0.25
127,127,Baylor,12,3,20,0,0.25
128,129,Charlotte,12,2,0,0,0.17
