,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Wyoming,13,18,20,38,6,8,14,24,1.85
1,2,UCF,13,12,20,32,6,9,15,17,1.31
2,3,Memphis,13,15,16,31,6,10,16,15,1.15
3,4,Stanford,14,10,18,28,4,8,12,16,1.14
4,5,Alabama,14,5,19,24,7,3,10,14,1.00
5,5,Miami (Florida),13,14,17,31,4,14,18,13,1.00
6,5,Louisiana Tech,13,9,19,28,10,5,15,13,1.00
7,5,Washington,13,9,15,24,6,5,11,13,1.00
8,9,Boise State,14,11,15,26,6,7,13,13,0.93
9,9,Florida Atlantic,14,6,20,26,6,7,13,13,0.93
10,11,Appalachian State,13,8,18,26,8,6,14,12,0.92
11,11,Penn State,13,15,10,25,3,10,13,12,0.92
12,13,Texas Tech,13,15,14,29,6,12,18,11,0.85
13,13,South Carolina,13,14,14,28,5,12,17,11,0.85
14,15,South Florida,12,4,20,24,8,6,14,10,0.83
15,16,Kansas State,13,11,12,23,5,8,13,10,0.77
16,16,Iowa State,13,8,12,20,1,9,10,10,0.77
17,16,LSU,13,6,12,18,4,4,8,10,0.77
18,19,Akron,14,8,19,27,6,11,17,10,0.71
19,20,Western Michigan,12,16,10,26,10,8,18,8,0.67
20,20,Tulane,12,6,13,19,5,6,11,8,0.67
21,22,Texas,13,10,16,26,7,11,18,8,0.62
22,22,Wake Forest,13,7,14,21,6,7,13,8,0.62
23,22,North Carolina State,13,7,14,21,7,6,13,8,0.62
24,25,Fresno State,14,12,9,21,6,7,13,8,0.57
25,26,Troy,13,9,17,26,12,7,19,7,0.54
26,26,Iowa,13,5,21,26,13,6,19,7,0.54
27,26,Northwestern,13,8,17,25,6,12,18,7,0.54
28,26,San Diego State,13,6,14,20,9,4,13,7,0.54
29,30,Utah State,13,16,13,29,11,13,24,5,0.38
30,30,Boston College,13,7,18,25,8,12,20,5,0.38
31,30,Virginia Tech,13,6,13,19,5,9,14,5,0.38
32,30,Army,13,9,6,15,4,6,10,5,0.38
33,34,Wisconsin,14,9,20,29,9,15,24,5,0.36
34,34,Ohio State,14,11,13,24,9,10,19,5,0.36
35,34,Oklahoma,14,10,8,18,7,6,13,5,0.36
36,34,UTSA,11,9,13,22,11,7,18,4,0.36
37,38,California,12,10,14,24,8,12,20,4,0.33
38,38,UNLV,12,12,7,19,6,9,15,4,0.33
39,40,SMU,13,11,12,23,6,13,19,4,0.31
40,40,Purdue,13,11,10,21,6,11,17,4,0.31
41,40,UAB,13,5,14,19,10,5,15,4,0.31
42,43,Clemson,14,6,14,20,7,9,16,4,0.29
43,44,Georgia,15,8,12,20,7,9,16,4,0.27
44,45,Massachusetts,12,7,13,20,11,6,17,3,0.25
45,46,Arizona,13,6,19,25,9,13,22,3,0.23
46,46,Oklahoma State,13,7,17,24,11,10,21,3,0.23
47,46,Michigan State,13,9,14,23,12,8,20,3,0.23
48,46,Texas A&M,13,12,10,22,7,12,19,3,0.23
49,46,Notre Dame,13,10,10,20,7,10,17,3,0.23
50,46,Kentucky,13,7,11,18,8,7,15,3,0.23
51,52,TCU,14,7,13,20,9,8,17,3,0.21
52,53,South Alabama,12,12,8,20,4,14,18,2,0.17
53,53,Idaho,12,9,9,18,9,7,16,2,0.17
54,53,Maryland,12,6,10,16,6,8,14,2,0.17
55,56,Louisville,13,10,13,23,11,10,21,2,0.15
56,56,Colorado State,13,6,12,18,6,10,16,2,0.15
57,56,Arizona State,13,6,11,17,6,9,15,2,0.15
58,59,Utah,13,13,14,27,12,14,26,1,0.08
59,59,Hawai'i,12,6,9,15,6,8,14,1,0.08
60,59,Tulsa,12,7,7,14,5,8,13,1,0.08
61,59,Buffalo,12,6,8,14,7,6,13,1,0.08
62,63,Toledo,14,5,15,20,10,9,19,1,0.07
63,64,Central Michigan,13,12,19,31,14,17,31,0,0.00
64,64,Oregon,13,10,15,25,13,12,25,0,0.00
65,64,Georgia Southern,12,6,14,20,13,7,20,0,0.00
66,64,Duke,13,4,15,19,7,12,19,0,0.00
67,64,Minnesota,12,10,8,18,7,11,18,0,0.00
68,64,Pittsburgh,12,7,9,16,8,8,16,0,0.00
69,64,Colorado,12,6,8,14,5,9,14,0,0.00
70,71,Auburn,14,13,6,19,14,6,20,-1,-0.07
71,72,Bowling Green,12,15,9,24,13,12,25,-1,-0.08
72,72,Arkansas State,12,10,14,24,8,17,25,-1,-0.08
73,72,Mississippi State,13,8,13,21,8,14,22,-1,-0.08
74,72,Southern Mississippi,13,9,9,18,12,7,19,-1,-0.08
75,72,Virginia,13,3,15,18,8,11,19,-1,-0.08
76,72,Arkansas,12,9,8,17,9,9,18,-1,-0.08
77,72,Miami (Ohio),12,6,11,17,7,11,18,-1,-0.08
78,72,Louisiana-Lafayette,12,6,9,15,4,12,16,-1,-0.08
79,80,USC,14,9,16,25,14,13,27,-2,-0.14
80,81,New Mexico State,13,11,16,27,7,22,29,-2,-0.15
81,81,Northern Illinois,13,7,15,22,13,11,24,-2,-0.15
82,83,Houston,12,6,15,21,11,12,23,-2,-0.17
83,83,Nevada,12,11,8,19,6,15,21,-2,-0.17
84,85,Washington State,13,13,15,28,11,20,31,-3,-0.23
85,85,Florida International,13,11,7,18,11,10,21,-3,-0.23
86,85,Navy,13,9,7,16,9,10,19,-3,-0.23
87,88,Tennessee,12,10,5,15,8,10,18,-3,-0.25
88,89,Florida,11,3,14,17,10,10,20,-3,-0.27
89,90,Temple,13,8,10,18,7,15,22,-4,-0.31
90,90,Ohio,13,8,9,17,12,9,21,-4,-0.31
91,90,Michigan,13,7,10,17,11,10,21,-4,-0.31
92,93,Eastern Michigan,12,10,8,18,7,15,22,-4,-0.33
93,93,Georgia State,12,7,10,17,12,9,21,-4,-0.33
94,93,Old Dominion,12,8,8,16,6,14,20,-4,-0.33
95,93,Louisiana-Monroe,12,5,9,14,9,9,18,-4,-0.33
96,97,Rutgers,12,3,12,15,9,11,20,-5,-0.42
97,97,Mississippi,12,5,8,13,5,13,18,-5,-0.42
98,97,Cincinnati,12,6,5,11,7,9,16,-5,-0.42
99,97,Vanderbilt,12,2,7,9,4,10,14,-5,-0.42
100,101,Georgia Tech,11,4,6,10,10,5,15,-5,-0.45
101,102,Florida State,13,6,9,15,8,13,21,-6,-0.46
102,103,North Carolina,12,9,7,16,6,16,22,-6,-0.50
103,103,UTEP,12,8,6,14,6,14,20,-6,-0.50
104,105,West Virginia,13,8,11,19,12,14,26,-7,-0.54
105,106,Illinois,12,10,9,19,7,19,26,-7,-0.58
106,106,Kent State,12,7,12,19,11,15,26,-7,-0.58
107,106,Indiana,12,8,5,13,7,13,20,-7,-0.58
108,106,Nebraska,12,3,9,12,2,17,19,-7,-0.58
109,106,Coastal Carolina,12,6,5,11,7,11,18,-7,-0.58
110,111,Missouri,13,5,12,17,11,14,25,-8,-0.62
111,111,Marshall,13,9,6,15,9,14,23,-8,-0.62
112,111,Western Kentucky,13,5,10,15,13,10,23,-8,-0.62
113,114,Connecticut,12,5,6,11,8,11,19,-8,-0.67
114,115,UCLA,13,5,8,13,12,10,22,-9,-0.69
115,116,Ball State,12,6,6,12,7,14,21,-9,-0.75
116,116,Charlotte,12,9,2,11,4,16,20,-9,-0.75
117,118,BYU,13,9,8,17,8,19,27,-10,-0.77
118,119,North Texas,14,8,8,16,12,15,27,-11,-0.79
119,120,East Carolina,12,4,7,11,5,16,21,-10,-0.83
120,120,Air Force,12,5,5,10,14,6,20,-10,-0.83
121,122,Middle Tennessee,13,6,5,11,6,17,23,-12,-0.92
122,123,Syracuse,12,8,4,12,8,16,24,-12,-1.00
123,124,Oregon State,12,7,7,14,16,12,28,-14,-1.17
124,124,Baylor,12,8,3,11,11,14,25,-14,-1.17
125,126,Texas State,12,9,0,9,14,10,24,-15,-1.25
126,127,New Mexico,12,7,6,13,15,14,29,-16,-1.33
127,128,Kansas,12,5,4,9,9,17,26,-17,-1.42
128,129,Rice,12,3,3,6,13,16,29,-23,-1.92
129,130,San Jose State,13,10,6,16,22,20,42,-26,-2.00
