,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Georgia Southern,13,12,15,27,5,0,5,22,1.69
1,2,Kansas,12,11,16,27,7,4,11,16,1.33
2,3,Utah State,13,10,22,32,12,6,18,14,1.08
3,3,UCF,13,14,14,28,7,7,14,14,1.08
4,5,Ohio,13,16,16,32,11,8,19,13,1.00
5,5,Syracuse,13,13,18,31,6,12,18,13,1.00
6,7,Florida,13,12,14,26,8,6,14,12,0.92
7,7,LSU,13,8,17,25,8,5,13,12,0.92
8,9,Fresno State,14,7,19,26,8,6,14,12,0.86
9,10,Boise State,13,17,7,24,5,8,13,11,0.85
10,11,Troy,13,13,18,31,13,8,21,10,0.77
11,11,Eastern Michigan,13,11,13,24,10,4,14,10,0.77
12,11,Arizona State,13,9,12,21,4,7,11,10,0.77
13,11,Army,13,13,5,18,5,3,8,10,0.77
14,15,Maryland,12,5,18,23,9,5,14,9,0.75
15,16,Iowa,13,7,20,27,7,11,18,9,0.69
16,16,Auburn,13,8,14,22,8,5,13,9,0.69
17,16,Florida International,13,5,17,22,5,8,13,9,0.69
18,19,Texas,14,8,12,20,5,6,11,9,0.64
19,20,Georgia Tech,13,13,12,25,13,4,17,8,0.62
20,20,Washington State,13,11,12,23,5,10,15,8,0.62
21,20,Vanderbilt,13,9,13,22,8,6,14,8,0.62
22,23,Boston College,12,8,18,26,10,9,19,7,0.58
23,23,West Virginia,12,9,15,24,7,10,17,7,0.58
24,23,SMU,12,11,11,22,7,8,15,7,0.58
25,26,Mississippi State,13,7,13,20,3,10,13,7,0.54
26,27,Northwestern,14,14,12,26,3,16,19,7,0.50
27,27,Miami (Ohio),12,8,8,16,5,5,10,6,0.50
28,29,Clemson,15,12,12,24,9,8,17,7,0.47
29,30,Temple,13,13,18,31,6,19,25,6,0.46
30,30,Appalachian State,13,6,17,23,5,12,17,6,0.46
31,32,Ohio State,14,12,11,23,9,8,17,6,0.43
32,33,Indiana,12,13,13,26,8,13,21,5,0.42
33,34,Alabama,15,7,14,21,7,8,15,6,0.40
34,35,Houston,13,10,14,24,10,9,19,5,0.38
35,35,Oregon,13,6,17,23,10,8,18,5,0.38
36,35,North Texas,13,4,18,22,8,9,17,5,0.38
37,35,Michigan,13,6,11,17,3,9,12,5,0.38
38,39,Middle Tennessee,14,8,16,24,8,11,19,5,0.36
39,40,Wyoming,12,5,10,15,7,4,11,4,0.33
40,41,Navy,13,12,9,21,12,5,17,4,0.31
41,41,Notre Dame,13,9,12,21,4,13,17,4,0.31
42,41,Arkansas State,13,8,12,20,6,10,16,4,0.31
43,44,Buffalo,14,10,14,24,7,13,20,4,0.29
44,44,Memphis,14,12,9,21,7,10,17,4,0.29
45,46,Louisiana Tech,13,9,13,22,8,11,19,3,0.23
46,46,Toledo,13,9,12,21,7,11,18,3,0.23
47,46,Virginia Tech,13,12,7,19,6,10,16,3,0.23
48,46,Stanford,13,7,11,18,4,11,15,3,0.23
49,50,Washington,14,9,11,20,5,12,17,3,0.21
50,50,Georgia,14,9,8,17,8,6,14,3,0.21
51,52,Kansas State,12,8,11,19,10,7,17,2,0.17
52,52,Western Kentucky,12,6,12,18,6,10,16,2,0.17
53,54,Virginia,13,4,17,21,10,9,19,2,0.15
54,54,Kentucky,13,11,9,20,8,10,18,2,0.15
55,56,Pittsburgh,14,9,9,18,10,6,16,2,0.14
56,57,Wisconsin,13,11,14,25,10,14,24,1,0.08
57,57,Michigan State,13,9,14,23,8,14,22,1,0.08
58,57,Western Michigan,13,11,9,20,10,9,19,1,0.08
59,57,UNLV,12,10,10,20,7,12,19,1,0.08
60,57,San Jose State,12,7,13,20,6,13,19,1,0.08
61,57,UTSA,12,10,9,19,8,10,18,1,0.08
62,57,North Carolina State,13,9,10,19,7,11,18,1,0.08
63,57,BYU,13,9,9,18,10,7,17,1,0.08
64,57,UCLA,12,7,11,18,7,10,17,1,0.08
65,57,Charlotte,12,7,9,16,7,8,15,1,0.08
66,57,Missouri,13,6,10,16,7,8,15,1,0.08
67,57,Mississippi,12,8,7,15,5,9,14,1,0.08
68,69,Marshall,13,12,12,24,11,13,24,0,0.00
69,69,UAB,14,11,9,20,4,16,20,0,0.00
70,69,Cincinnati,13,8,12,20,13,7,20,0,0.00
71,72,Northern Illinois,14,11,8,19,9,11,20,-1,-0.07
72,73,Miami (Florida),13,9,16,25,12,14,26,-1,-0.08
73,73,South Florida,13,10,11,21,10,12,22,-1,-0.08
74,73,Penn State,13,7,13,20,13,8,21,-1,-0.08
75,73,Kent State,12,10,9,19,10,10,20,-1,-0.08
76,73,Tulane,13,6,12,18,12,7,19,-1,-0.08
77,73,Tennessee,12,6,9,15,11,5,16,-1,-0.08
78,73,Air Force,12,7,7,14,10,5,15,-1,-0.08
79,80,Southern Mississippi,11,8,14,22,10,13,23,-1,-0.09
80,81,Louisiana-Lafayette,14,7,8,15,3,14,17,-2,-0.14
81,81,Oklahoma,14,5,6,11,6,7,13,-2,-0.14
82,83,Liberty,12,10,12,22,6,18,24,-2,-0.17
83,83,Nebraska,12,9,11,20,11,11,22,-2,-0.17
84,85,California,13,7,21,28,11,20,31,-3,-0.23
85,85,Wake Forest,13,10,6,16,6,13,19,-3,-0.23
86,85,Iowa State,13,8,8,16,10,9,19,-3,-0.23
87,85,San Diego State,13,5,10,15,11,7,18,-3,-0.23
88,89,Minnesota,13,10,11,21,11,14,25,-4,-0.31
89,89,Rice,13,11,8,19,7,16,23,-4,-0.31
90,91,New Mexico,12,13,9,22,9,17,26,-4,-0.33
91,91,Tulsa,12,11,9,20,14,10,24,-4,-0.33
92,91,Massachusetts,12,8,12,20,14,10,24,-4,-0.33
93,91,Illinois,12,5,15,20,10,14,24,-4,-0.33
94,91,Texas Tech,12,6,12,18,7,15,22,-4,-0.33
95,91,Ball State,12,6,12,18,10,12,22,-4,-0.33
96,91,South Alabama,12,6,12,18,12,10,22,-4,-0.33
97,91,Arizona,12,8,7,15,9,10,19,-4,-0.33
98,91,Colorado,12,7,8,15,7,12,19,-4,-0.33
99,100,Utah,14,6,15,21,14,12,26,-5,-0.36
100,101,TCU,13,9,12,21,11,15,26,-5,-0.38
101,101,South Carolina,13,10,6,16,7,14,21,-5,-0.38
102,101,Purdue,13,3,11,14,6,13,19,-5,-0.38
103,104,Central Michigan,12,12,10,22,9,18,27,-5,-0.42
104,104,Akron,12,11,10,21,12,14,26,-5,-0.42
105,104,Texas State,12,12,6,18,11,12,23,-5,-0.42
106,107,Nevada,13,11,11,22,11,17,28,-6,-0.46
107,108,Old Dominion,12,5,9,14,8,12,20,-6,-0.50
108,108,Coastal Carolina,12,8,4,12,11,7,18,-6,-0.50
109,110,Duke,13,9,4,13,10,10,20,-7,-0.54
110,110,Texas A&M,13,4,7,11,9,9,18,-7,-0.54
111,112,North Carolina,11,10,7,17,9,14,23,-6,-0.55
112,113,Florida Atlantic,12,3,11,14,6,15,21,-7,-0.58
113,114,Hawai'i,14,7,5,12,9,12,21,-9,-0.64
114,115,New Mexico State,12,10,7,17,9,16,25,-8,-0.67
115,115,Bowling Green,12,8,6,14,9,13,22,-8,-0.67
116,115,Georgia State,12,4,6,10,12,6,18,-8,-0.67
117,118,Oklahoma State,13,8,5,13,9,13,22,-9,-0.69
118,118,Baylor,13,3,7,10,6,13,19,-9,-0.69
119,120,Arkansas,12,11,5,16,8,18,26,-10,-0.83
120,120,Colorado State,12,5,7,12,6,16,22,-10,-0.83
121,120,USC,12,6,4,10,10,10,20,-10,-0.83
122,120,Oregon State,12,5,3,8,9,9,18,-10,-0.83
123,124,Florida State,12,3,12,15,13,13,26,-11,-0.92
124,125,Louisville,12,7,6,13,10,15,25,-12,-1.00
125,125,Louisiana-Monroe,12,6,5,11,11,12,23,-12,-1.00
126,127,Rutgers,12,6,9,15,7,22,29,-14,-1.17
127,127,East Carolina,12,6,5,11,10,15,25,-14,-1.17
128,129,UTEP,12,6,5,11,9,19,28,-17,-1.42
129,129,Connecticut,12,6,5,11,11,17,28,-17,-1.42
